

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:29 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:29 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:30 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:30 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:30 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:30 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:30 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:30 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:30 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:30 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:30 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:30 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:30 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:31 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:31 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:31 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:31 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:31 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:31 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:31 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:31 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:31 ||| RECEIVER-4   ||  BIT RECEIVED : 0

03/10/2021 07:37:31 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

03/10/2021 07:37:31 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

03/10/2021 07:37:31 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

03/10/2021 07:37:31 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

03/10/2021 07:37:31 ||| CHAR RECEIVED :  


03/10/2021 07:37:31 ||| CHAR RECEIVED :  


03/10/2021 07:37:31 ||| CHAR RECEIVED :  


03/10/2021 07:37:31 ||| CHAR RECEIVED :  

03/10/2021 07:37:31 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:32 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:32 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:32 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:32 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:32 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:32 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:32 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:32 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:32 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:32 ||| RECEIVER-4   ||  BIT RECEIVED : 0
